model,price,year,mileage,vol_engine,Power
jetta,38092.375,2012.5271739130435,165885.84239130435,1636.2282608695652,123.66847826086956
juke,53742.95570698467,2015.252129471891,90140.62521294718,1407.1413969335604,121.95741056218058
ka,15027.641025641025,2011.0128205128206,119779.60897435897,1245.25,69.85897435897436
kadjar,88697.92857142857,2018.642857142857,56261.36111111111,1365.0714285714287,133.375
kamiq,102741.1598173516,2021.5570776255709,4480.041095890411,1126.6027397260275,120.0958904109589
kangoo,28447.451923076922,2012.076923076923,169322.5673076923,1421.5384615384614,87.28846153846153
karl,23310.5625,2015.875,95181.625,999.03125,73.6875
karoq,188377.38461538462,2020.8506787330316,24021.452488687784,1715.1402714932126,147.9502262443439
kodiaq,155062.93063583816,2019.4971098265896,60987.67630057804,1866.7774566473988,175.08959537572255
koleos,77322.20634920635,2014.6560846560847,130824.27513227513,1966.962962962963,163.25925925925927
kona,99939.76605504587,2020.408256880734,19466.091743119265,1221.9036697247707,147.9908256880734
kuga,81647.69290231905,2015.747013352073,114064.41321152495,1862.2782853127196,156.08784258608574
laguna,21187.422174840085,2009.136460554371,210562.79957356077,1929.6119402985075,144.83582089552237
lancer,28198.817567567567,2010.1756756756756,173707.20945945947,1759.6148648648648,138.0472972972973
land-cruiser,173073.75,2014.0961538461538,151069.78205128206,3153.673076923077,202.76923076923077
leaf,113332.46666666666,2018.9333333333334,28036.733333333334,0.0,151.03333333333333
leon,49879.06469002696,2013.5696316262354,143413.739442947,1641.4330637915543,141.75651392632525
m-klasa,69025.50793650794,2009.329365079365,234140.30555555556,3373.373015873016,263.8333333333333
m2,241592.0625,2018.6875,34517.46875,2949.0,407.34375
m3,339311.52702702704,2017.2432432432433,53614.91891891892,3147.9594594594596,464.94594594594594
m4,432261.6947368421,2019.8842105263159,21075.2,2988.4315789473685,483.86315789473684
m5,432160.7415730337,2016.6629213483145,57375.8202247191,4483.224719101124,590.9101123595506
m8,846365.625,2021.3125,7844.03125,4395.0,620.3125
megane,44639.85537422622,2014.039954980304,128422.12099043331,1501.6989307822173,124.55149127743388
meriva,20839.822404371585,2009.73087431694,165800.60792349727,1477.4098360655737,109.64071038251366
micra,31661.39893617021,2014.095744680851,96340.49734042553,1168.093085106383,81.0186170212766
mito,20292.527472527472,2010.4835164835165,153066.94505494504,1369.043956043956,108.65934065934066
modus,10818.12925170068,2007.1496598639455,169926.08843537414,1326.3333333333333,87.6734693877551
mokka,64489.46153846154,2016.1412358133668,98072.32156368221,1444.219419924338,131.42875157629257
mondeo,48125.0336906585,2013.12404287902,186085.5844818785,1927.2016334864727,153.97600816743235
multivan,223863.0,2017.8498023715415,90509.4743083004,1927.7470355731225,168.47826086956522
murano,44096.1935483871,2010.1935483870968,168857.90322580645,3367.8709677419356,238.61290322580646
mustang,148942.86720867208,2016.520325203252,72773.50406504064,4207.569105691057,381.89159891598916
mustang-mach-e,327554.77777777775,2021.6984126984128,1149.6349206349207,1.5555555555555556,329.36507936507934
mx-5,92947.65217391304,2015.3478260869565,60044.17391304348,1926.2391304347825,159.30434782608697
new-beetle,22331.866666666665,2007.3555555555556,178488.33333333334,1737.4222222222222,110.53333333333333
